State,Year,Quater,Registered_Users,App_Opens
Arunachal Pradesh,2018,4,1684,0
Arunachal Pradesh,2018,4,21342,0
Arunachal Pradesh,2018,4,744,0
Arunachal Pradesh,2018,4,936,0
Arunachal Pradesh,2018,4,178,0
Arunachal Pradesh,2018,4,6492,0
Arunachal Pradesh,2018,4,144,0
Arunachal Pradesh,2018,4,691,0
Arunachal Pradesh,2018,4,3588,0
Arunachal Pradesh,2018,4,548,0
Arunachal Pradesh,2018,4,1827,0
Arunachal Pradesh,2018,4,923,0
Arunachal Pradesh,2018,4,2117,0
Arunachal Pradesh,2018,4,109,0
Arunachal Pradesh,2018,4,868,0
Arunachal Pradesh,2018,4,321,0
Arunachal Pradesh,2018,4,483,0
Arunachal Pradesh,2018,4,255,0
Arunachal Pradesh,2018,4,4036,0
Arunachal Pradesh,2018,4,138,0
Arunachal Pradesh,2018,4,4813,0
Arunachal Pradesh,2018,4,1576,0
Arunachal Pradesh,2018,4,4085,0
Arunachal Pradesh,2018,4,2495,0
Arunachal Pradesh,2019,1,1879,0
Arunachal Pradesh,2019,1,2082,0
Arunachal Pradesh,2019,1,26298,0
Arunachal Pradesh,2019,1,934,0
Arunachal Pradesh,2019,1,1123,0
Arunachal Pradesh,2019,1,211,0
Arunachal Pradesh,2019,1,8115,0
Arunachal Pradesh,2019,1,186,0
Arunachal Pradesh,2019,1,876,0
Arunachal Pradesh,2019,1,4416,0
Arunachal Pradesh,2019,1,710,0
Arunachal Pradesh,2019,1,2314,0
Arunachal Pradesh,2019,1,1152,0
Arunachal Pradesh,2019,1,2656,0
Arunachal Pradesh,2019,1,141,0
Arunachal Pradesh,2019,1,1125,0
Arunachal Pradesh,2019,1,385,0
Arunachal Pradesh,2019,1,651,0
Arunachal Pradesh,2019,1,350,0
Arunachal Pradesh,2019,1,5210,0
Arunachal Pradesh,2019,1,162,0
Arunachal Pradesh,2019,1,5899,0
Arunachal Pradesh,2019,1,1906,0
Arunachal Pradesh,2019,1,5023,0
Arunachal Pradesh,2019,1,3153,0
Arunachal Pradesh,2019,2,2463,11644
Arunachal Pradesh,2019,2,2697,12779
Arunachal Pradesh,2019,2,32800,163673
Arunachal Pradesh,2019,2,1175,4993
Arunachal Pradesh,2019,2,1457,7737
Arunachal Pradesh,2019,2,241,258
Arunachal Pradesh,2019,2,9782,73944
Arunachal Pradesh,2019,2,225,24
Arunachal Pradesh,2019,2,1075,4146
Arunachal Pradesh,2019,2,5485,32550
Arunachal Pradesh,2019,2,903,4196
Arunachal Pradesh,2019,2,2842,12669
Arunachal Pradesh,2019,2,1420,13256
Arunachal Pradesh,2019,2,3393,15972
Arunachal Pradesh,2019,2,212,972
Arunachal Pradesh,2019,2,1372,2710
Arunachal Pradesh,2019,2,481,2171
Arunachal Pradesh,2019,2,831,3209
Arunachal Pradesh,2019,2,440,2639
Arunachal Pradesh,2019,2,6884,37725
Arunachal Pradesh,2019,2,211,1237
Arunachal Pradesh,2019,2,7319,34596
Arunachal Pradesh,2019,2,2355,9043
Arunachal Pradesh,2019,2,5908,32103
Arunachal Pradesh,2019,2,3914,18627
